timestamp,cpu_usage,ram_usage,disk_usage,process_count,new_processes,terminated_processes,login_success,login_failed,logoff_events,file_created,file_modified,file_deleted,file_renamed
2026-09-22T08:55:43.641134,50.2,91.8,55.9,255,0,0,0,0,0,0,0,0,0
2026-09-22T08:55:49.005905,21.2,93.8,55.9,256,0,0,0,0,0,0,0,0,0
2026-09-22T08:55:54.399810,21.2,93.8,55.9,256,0,0,0,0,0,0,0,0,0
2026-09-22T08:55:59.856392,55.4,93.0,55.9,255,0,0,0,0,0,0,0,0,0
2026-09-22T08:56:06.151595,12.6,91.4,55.9,250,0,0,0,0,0,0,0,0,0
2026-09-22T08:56:11.474402,12.6,91.4,55.9,250,0,0,0,0,0,0,0,0,0
2026-09-22T08:56:16.893799,31.3,92.3,55.9,250,0,0,0,0,0,0,0,0,0
2026-09-22T08:56:22.285878,53.3,91.7,55.9,250,0,0,0,0,0,0,0,0,0
2026-09-22T08:56:27.731922,18.3,92.3,55.9,250,0,0,0,0,0,0,0,0,0
2026-09-22T08:56:33.270536,18.3,92.3,55.9,250,0,0,0,0,0,0,0,0,0
2026-09-22T08:56:38.758499,94.4,93.3,55.9,248,0,0,0,0,0,0,0,0,0
2026-09-22T08:56:44.131760,4.7,89.1,55.9,247,0,0,0,0,0,0,0,0,0
2026-09-22T08:56:50.003749,21.7,88.8,55.9,245,0,0,0,0,0,0,0,0,0
2026-09-22T08:56:55.552086,21.7,88.8,55.9,245,0,0,0,0,0,0,0,0,0
2026-09-22T08:57:00.986033,16.2,87.2,55.9,248,0,0,0,0,0,0,0,0,0
2026-09-22T08:57:06.437369,16.2,87.2,55.9,248,0,0,0,0,0,0,0,0,0
2026-09-22T08:57:11.996395,21.3,88.0,55.9,248,0,0,0,0,0,0,0,0,0
2026-09-22T08:57:17.561201,43.6,86.8,55.9,249,0,0,0,0,0,0,0,0,0
2026-09-22T08:57:22.994440,40.7,87.1,55.9,250,0,0,0,0,0,0,0,0,0
2026-09-22T08:57:28.553640,18.6,87.4,55.9,248,0,0,0,0,0,0,0,0,0
2026-09-22T08:57:33.932178,18.6,87.4,55.9,248,0,0,0,0,0,0,0,0,0
2026-09-22T08:57:39.567684,19.1,87.9,55.9,248,0,0,1,0,0,0,0,0,0
2026-09-22T08:57:44.996667,46.8,90.2,55.9,249,0,0,0,0,0,0,0,0,0
2026-09-22T08:57:50.294737,29.9,89.0,55.9,249,0,0,0,1,0,0,0,0,0
2026-09-22T08:57:56.105760,29.9,89.0,55.9,249,0,0,0,0,0,0,0,0,0
2026-09-22T08:58:01.611144,98.3,90.4,55.9,249,0,0,4,0,4,0,0,0,0
2026-09-22T08:58:07.507311,12.4,90.7,55.9,248,0,0,0,0,0,0,0,0,0
2026-09-22T08:58:12.870620,11.2,90.8,55.9,248,0,0,0,0,0,0,0,0,0
2026-09-22T08:58:18.118472,11.2,90.8,55.9,248,0,0,0,0,0,0,0,0,0
2026-09-22T08:58:23.427110,35.9,89.8,55.9,247,0,0,0,0,0,0,0,0,0
2026-09-22T08:58:28.744760,61.7,90.9,55.9,248,0,0,0,0,0,0,0,0,0
2026-09-22T08:58:34.252869,49.2,88.9,55.9,248,0,0,0,0,0,0,0,0,0
2026-09-22T08:58:41.221628,89.2,94.2,55.9,247,0,0,0,0,0,0,0,0,0
2026-09-22T08:58:47.169480,89.2,94.2,55.9,247,0,0,0,0,0,0,0,0,0
2026-09-22T08:58:52.597955,41.7,93.5,55.9,245,0,0,0,0,0,0,0,0,0
2026-09-22T08:58:58.667415,78.5,94.5,55.9,248,0,0,0,0,0,0,0,0,0
2026-09-22T08:59:04.216411,40.5,94.1,55.9,253,0,0,0,0,0,0,0,0,0
